DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
419665,237,1,1,1,"71,8239167498858",julio,este municipio,cosquilleo,tarde,Calle/Avenida,no,si,no,no,no,,,,,,no,no,,,,,,desconfianza en la justicia,no,2018
419671,237,2,1,2,"77,600000581472",octubre,este municipio,raponazo,noche,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419672,237,1,1,1,"56,6827630549273",abril,este municipio,atraco,tarde,Vehículo,si,si,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419673,237,2,1,2,"80,2141445364504",junio,este municipio,atraco,noche,Calle/Avenida,no,no,si,no,no,no,si,no,no,no,no,no,,,,,,falta de pruebas,no,2018
419674,237,3,1,3,"78,3047737616055",abril,este municipio,atraco,mañana,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,si,si,C.A.I.,policia,obligacion_ciudadana,si,,,no,2018
419676,237,4,1,4,"61,425185690559",noviembre,este municipio,descuido,tarde,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconocimiento del proceso,no,2018
419678,237,3,1,3,"40,218863134795",diciembre,este municipio,cosquilleo,tarde,Vehículo,si,no,no,no,no,,,,,,no,si,Estación de Policía,policia,justicia,si,,,no,2018
419683,237,1,1,1,"49,570401565667",octubre,otro,atraco,mañana,Calle/Avenida,si,si,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419696,237,1,1,1,"59,3840181504494",mayo,este municipio,raponazo,noche,Calle/Avenida,no,no,si,no,no,no,no,no,no,no,si,si,Fiscalía,fiscalia,evitar ocurrencia,no,espera excesiva,,no,2018
419698,237,2,1,2,"65,2190791456925",octubre,este municipio,atraco,mañana,Calle/Avenida,si,no,si,no,no,no,si,no,no,no,no,si,C.A.I.,policia,obligacion_ciudadana,no,info imprecisa,,no,2018
419703,237,1,1,1,"83,5547202823042",septiembre,este municipio,cosquilleo,tarde,Calle/Avenida,si,no,no,no,no,,,,,,si,si,Estación de Policía,policia,recuperar bienes,no,espera excesiva,,no,2018
419705,237,2,1,2,"58,7382221339728",febrero,este municipio,raponazo,noche,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,Estación de Policía,policia,justicia,si,,,no,2018
419729,237,2,1,2,"74,1094836944938",mayo,este municipio,descuido,tarde,Residencia ajena,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,falta de pruebas,no,2018
419730,237,2,1,2,"69,437191569163",abril,este municipio,atraco,noche,Calle/Avenida,no,no,si,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,si,2018
419760,237,3,1,3,"75,1836134765223",marzo,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419767,237,5,1,5,"84,4582749239778",julio,este municipio,cosquilleo,mañana,Transporte público,no,no,si,no,no,,,,,,no,no,,,,,,desconfianza en la justicia,no,2018
419769,237,1,1,1,"86,3865694874742",mayo,este municipio,atraco,tarde,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,si,C.A.I.,policia,proteccion,no,info imprecisa,,no,2018
419794,237,2,1,2,"69,5835456349478",septiembre,otro,descuido,noche,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419795,237,1,1,1,"61,0149657587409",mayo,este municipio,atraco,mañana,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419806,237,1,1,1,"72,2179217696928",octubre,otro,cosquilleo,tarde,Calle/Avenida,si,no,no,no,no,,,,,,no,si,denuncias en línea,policia,obligacion_ciudadana,,,,no,2018
419823,237,3,1,3,"103,828958988809",abril,este municipio,engaño,mañana,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419844,237,7,1,7,"54,4361835156738",septiembre,este municipio,atraco,noche,Entretenimiento,si,no,no,no,no,si,si,no,no,no,si,si,Estación de Policía,policia,justicia,si,,,no,2018
419856,237,3,1,3,"74,0881958307983",diciembre,este municipio,atraco,madrugada,Calle/Avenida,si,si,no,no,no,si,no,no,no,no,si,si,Estación de Policía,policia,recuperar bienes,si,,,no,2018
419857,237,2,1,2,"52,6319616275027",noviembre,este municipio,atraco,mañana,Calle/Avenida,si,si,no,no,no,si,no,no,no,no,no,no,,,,,,desconocimiento del proceso,no,2018
419869,237,2,1,2,"96,721769680837",enero,este municipio,atraco,mañana,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419872,237,1,1,1,"94,188324618843",septiembre,este municipio,cosquilleo,noche,Calle/Avenida,no,si,no,no,no,,,,,,no,no,,,,,,consideró innecesario,no,2018
419879,237,3,1,3,"81,1639903162623",julio,este municipio,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419884,237,3,1,3,"67,4779455464746",mayo,este municipio,cosquilleo,mañana,Calle/Avenida,si,no,no,no,no,,,,,,no,no,,,,,,desconfianza en la justicia,no,2018
419910,237,2,1,2,"71,2103887793938",octubre,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419918,237,2,1,2,"56,590777030228",febrero,este municipio,atraco,noche,Calle/Avenida,no,si,no,no,no,si,no,no,no,no,si,no,,,,,,consideró innecesario,no,2018
419923,237,1,1,1,"82,6397169601518",septiembre,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,si,Estación de Policía,policia,proteccion,si,,,no,2018
419935,237,2,1,2,"2655,17423223912",septiembre,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419940,237,2,1,2,"2655,17423223912",octubre,este municipio,descuido,tarde,Calle/Avenida,no,si,no,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
419942,237,2,1,2,"3421,96259883936",agosto,este municipio,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,si,Estación de Policía,policia,justicia,no,trato inadecuado,,no,2018
419943,237,4,1,4,"3318,44750817524",abril,este municipio,atraco,tarde,Calle/Avenida,si,no,no,no,no,no,si,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419946,237,3,1,3,"394,90200649976",agosto,otro,raponazo,noche,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,falta de pruebas,no,2018
419948,237,1,1,1,"354,318448937109",febrero,este municipio,atraco,mañana,Calle/Avenida,si,si,si,no,no,si,no,no,no,no,si,no,,,,,,desconfianza en la justicia,no,2018
419948,237,4,1,4,"354,318448937109",marzo,este municipio,raponazo,tarde,Calle/Avenida,no,no,si,no,no,no,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
419948,237,6,1,6,"354,318448937109",noviembre,este municipio,raponazo,noche,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
419957,237,4,1,4,"222,539081248545",julio,este municipio,engaño,tarde,Trabajo/Estudio,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,otro problema,no,2018
419963,237,1,1,1,"272,948413944362",marzo,este municipio,atraco,noche,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,no,,,,,,trámites engorrosos,no,2018
419964,237,3,1,3,"365,1894344326",agosto,este municipio,descuido,noche,Parque/Deporte,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,falta de pruebas,no,2018
419965,237,2,1,2,"328,384862738694",mayo,este municipio,atraco,tarde,Calle/Avenida,si,si,no,no,no,no,si,no,no,no,no,si,denuncias en línea,policia,recuperar bienes,,,,no,2018
419994,237,3,1,3,"196,104054896048",febrero,este municipio,atraco,tarde,Calle/Avenida,si,no,no,no,no,si,no,no,no,no,no,no,,,,,,trámites engorrosos,no,2018
420000,237,8,1,8,"423,896566930773",febrero,este municipio,atraco,mañana,Calle/Avenida,si,no,no,no,no,no,no,no,no,no,no,no,,,,,,desconfianza en la justicia,no,2018
420002,237,2,1,2,"468,908575238431",marzo,este municipio,atraco,noche,Calle/Avenida,no,si,si,no,no,si,no,no,no,no,no,no,,,,,,consideró innecesario,no,2018
