DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto,year
400660,237,1,1,1,"127,433312572976",4,1,4,3,5,1,1,1,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,2.0,2,2018
400664,237,1,1,1,"124,801142097866",3,2,1,9,2,2,1,2,2,2,,,,,,2,2,,,,,,3.0,2,2018
400669,237,14,1,14,"149,64686178891",7,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400673,237,4,1,4,"121,033242591394",3,1,4,3,2,2,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400673,237,5,1,5,"121,033242591394",3,1,4,2,2,1,2,2,2,2,2.0,1.0,2.0,2.0,2.0,1,1,4.0,1.0,4.0,,,,2,2018
400676,237,1,1,1,"128,685286872745",9,1,3,4,2,2,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400676,237,2,1,2,"128,685286872745",6,1,4,4,5,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2,2018
400681,237,3,1,3,"128,026344624225",6,1,4,2,7,1,1,1,2,2,1.0,2.0,2.0,2.0,2.0,1,2,,,,,,3.0,2,2018
400699,237,1,1,1,"109,840824279637",9,1,4,2,2,2,2,1,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,5.0,2,2018
400702,237,1,1,1,"125,69544229701",12,1,7,3,7,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400703,237,2,1,2,"118,925042945848",8,1,4,3,2,2,1,2,1,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,2.0,2,2018
400707,237,1,1,1,"125,300087197164",12,1,4,3,2,2,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,3.0,2,2018
400713,237,1,1,1,"113,75252095845",1,1,7,2,2,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400714,237,2,1,2,"117,57790405589",3,1,4,3,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,5.0,2,2018
400721,237,2,1,2,"130,818512248558",2,1,4,3,1,1,1,1,1,2,2.0,1.0,2.0,1.0,2.0,1,1,1.0,1.0,5.0,2.0,4.0,,2,2018
400721,237,3,1,3,"130,818512248558",7,1,4,2,2,1,1,2,2,2,1.0,2.0,2.0,1.0,2.0,2,1,4.0,1.0,1.0,,,,2,2018
