DIRECTORIO,NRO_ENCUESTA,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN,FEX_C,mes_ultimo_unico_robo,municipio,metodo,hora,lugar,celular,efectivo_tarjetas,articulos_de_uso_personal,dispositivos,otra_pertenencia,arma_fuego,arma_blanca,otros_objetos,fuerza_fisica,drogas_sustancias,hizo_llamada,denuncia,lugar_denuncia,autoridad,razon_denuncia,buena_atencion,razon_de_satisfaccion,razon_no_denuncia,recuperacion_objeto
503690,237,2,1,2,"93,2370700384082",6,1,8,4,11,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,10.0,1
503691,237,1,1,1,"65,4512279273049",1,1,7,3,9,2,1,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,1.0,1.0,5.0,1.0,,,1
503692,237,3,1,3,"96,2462398733592",12,1,4,3,2,2,2,1,2,2,2.0,1.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503693,237,3,1,3,"186,387445099041",11,1,4,4,2,2,1,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
503697,237,1,1,1,"92,2778659606358",7,1,4,4,2,2,1,2,2,2,2.0,1.0,2.0,2.0,2.0,2,1,1.0,1.0,5.0,2.0,4.0,,2
503702,237,1,1,1,"165,771448167783",7,1,3,4,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,1,2,,,,,,3.0,2
503716,237,2,1,2,"112,107467905292",7,1,3,4,2,2,1,1,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,8.0,2
503732,237,2,1,2,"110,219487371916",12,1,3,2,2,1,1,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,1.0,2
503735,237,4,1,4,"71,0440312736606",9,1,3,3,2,1,2,2,2,2,2.0,2.0,2.0,1.0,2.0,2,2,,,,,,3.0,2
503744,237,2,1,2,"271,381926189306",7,1,3,2,2,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,1,1,3.0,1.0,1.0,1.0,,,2
503751,237,1,1,1,"660,393175114568",9,1,1,4,2,2,1,2,2,2,,,,,,2,2,,,,,,6.0,2
503756,237,1,1,1,"543,05594045573",7,1,1,3,2,1,2,2,2,2,,,,,,2,2,,,,,,3.0,2
503759,237,4,1,4,"91,6302879939239",1,1,7,4,4,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,1,4.0,,4.0,,,,2
503760,237,1,1,1,"132,163979301396",10,1,4,4,1,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,1,3.0,1.0,5.0,2.0,1.0,,2
503760,237,2,1,2,"132,163979301396",7,1,4,4,1,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503766,237,7,3,1,"92,1789638373835",11,1,3,3,5,1,2,2,2,2,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503768,237,1,1,1,"128,636501925995",2,1,7,2,2,1,2,2,2,1,2.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503768,237,4,1,4,"128,636501925995",1,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,6.0,2
503769,237,1,1,1,"62,5394937304739",9,1,4,4,2,1,2,2,2,2,1.0,2.0,2.0,2.0,2.0,2,2,,,,,,2.0,2
