DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318;FEX_C
400927;237;2;1;2;5;1;7;2;7;1;2;2;2;2;2;2;2;2;2;1;1;2;2;4;1; ; ;2;620,665477799687
400928;237;2;1;2;5;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;356,971700139219
400930;237;1;1;1;7;1;4;3;2;1;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;810,540740266755
400931;237;3;1;3;8;1;4;4;2;1;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;321,516742770164
400931;237;5;1;5;10;1;4;2;2;1;1;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;321,516742770164
400932;237;2;1;2;12;1;4;3;2;1;2;2;2;2;1;2;2;1;2;2;2; ; ; ; ; ;3;2;321,516742770164
400932;237;3;1;3;3;1;4;3;7;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;321,516742770164
400932;237;4;1;4;9;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;321,516742770164
400932;237;5;1;5;8;1;4;3;7;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;321,516742770164
400933;237;1;1;1;11;1;4;4;7;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;5;2;730,499896113931
400939;237;1;1;1;10;1;4;4;2;2;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;1; ;2;720,369060233945
400940;237;4;1;4;4;1;4;4;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;339,469197154808
400940;237;1;1;1;6;1;4;2;2;2;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;339,469197154808
400940;237;2;1;2;11;1;1;3;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;3;2;339,469197154808
400941;237;3;1;3;9;1;4;2;2;1;2;2;2;2;1;2;2;2;2;1;1;2;2;1;1; ; ;2;321,516742770164
400942;237;2;1;2;6;1;4;3;4;1;2;1;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;321,516742770164
400942;237;3;1;3;12;1;4;3;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;3;2;321,516742770164
400948;237;2;1;2;3;1;4;3;8;1;2;2;2;2;1;2;2;2;2;1;1;3;1;2;2;1; ;2;488,104399850374
400955;237;2;1;2;10;1;4;4;2;2;1;1;2;2;1;2;2;2;2;2;1;3;1;1;2;1; ;2;848,100160013543
400956;237;3;1;3;12;1;7;2;1;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2;1125,53544533115
400957;237;3;1;3;4;1;4;3;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2;727,886653144259
400958;237;2;1;2;10;1;3;4;2;1;1;1;1;2;2;2;2;2;2;1;1;2;2;4;2;4; ;2;321,516742770164
400958;237;4;1;4;12;2;3;4;8;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;5;2;321,516742770164
400964;237;2;1;2;12;1;7;3;2;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ;5;2;566,509700887722
400964;237;3;1;3;3;1;4;3;8;2;1;1;2;2;2;2;2;2;2;2;1;1;1;1;2;1; ;2;566,509700887722
400970;237;6;1;6;11;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;5;2;904,059253138604
