DIRECTORIO;NRO_ENCUESTA;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P578;P1341;P1229;P1335;P1338;P1339S3;P1339S5;P1339S1;P1339S2;P1339S6;P580S1;P580S2;P580S3;P580S5;P580S6;P1598;P1324;P582;P583;P1114;P1599;P1600;P1113;P1318
600559;237;3;1;3;81,5204518186493;6;1;3;4;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;4;2
600563;237;1;1;1;90,9692945716;12;1;1;3;2;1;1;2;2;2; ; ; ; ; ;2;1;3;1;5;2;1; ;2
600573;237;1;1;1;99,8548391201776;7;1;3;3;1;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;7;2
600596;237;1;1;1;102,78572327881;1;1;4;4;2;2;1;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;7;2
600596;237;2;1;2;102,78572327881;11;1;7;2;2;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
600598;237;5;1;5;97,6099271340726;11;1;4;2;2;1;2;2;2;2;1;2;2;2;2;2;2; ; ; ; ; ;6;2
600598;237;6;1;6;97,6099271340726;12;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2
600607;237;1;1;1;109,955017905108;11;1;4;3;5;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;3;2
600619;237;1;1;1;89,2828517391963;11;1;4;2;3;1;1;2;2;2;1;2;2;2;2;2;1;1;1;5;2;3; ;2
600630;237;3;1;3;47,9197532914452;5;1;1;3;5;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;6;2
600630;237;1;2;1;47,9197532914452;12;1;4;4;2;1;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2
600636;237;1;1;1;45,7441467205469;3;1;4;2;3;1;1;1;2;2;2;1;2;1;2;2;2; ; ; ; ; ;3;2
600639;237;3;1;3;50,3955842944935;9;1;4;4;2;1;2;2;2;2;1;2;2;1;2;2;1;4; ;4; ; ; ;2
600651;237;1;1;1;41,5922825167023;6;1;7;3;1;2;2;2;2;1;2;2;2;2;2;2;2; ; ; ; ; ;8;2
600666;237;5;1;5;48,1926666726025;12;1;1;3;2;1;2;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;1;2
600668;237;3;1;3;44,773758623183;7;1;3;2;2;1;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;1;2
600670;237;3;1;3;48,2439401866413;1;1;4;2;2;1;1;1;2;2;2;1;2;1;2;1;1;1;1;2;1; ; ;2
600671;237;2;1;2;42,9614761334984;5;1;3;2;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
600683;237;2;1;2;30,8075802131713;6;1;3;2;2;1;1;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;7;2
600683;237;4;1;4;30,8075802131713;1;1;3;4;2;2;1;2;2;2;2;2;2;1;2;2;1;4; ;6; ; ; ;2
600684;237;2;1;2;59,2431760231819;6;1;3;3;2;1;1;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
600689;237;1;1;1;43,8673318193993;7;1;3;4;1;1;2;2;1;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
600689;237;2;1;2;43,8673318193993;3;1;3;2;9;1;2;2;2;2;2;2;2;2;2;2;1;2;2;5;2;3; ;2
600690;237;1;1;1;35,5755232554514;7;1;4;2;2;1;2;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
600690;237;2;1;2;35,5755232554514;12;1;1;3;2;2;1;2;2;2; ; ; ; ; ;2;2; ; ; ; ; ;6;2
600692;237;3;1;3;40,9308443605025;12;1;4;4;2;1;1;2;2;2;1;2;2;2;2;1;1;3;1;2;2;1; ;2
600692;237;5;1;5;40,9308443605025;12;1;4;4;2;2;1;2;2;2;2;1;2;2;2;2;2; ; ; ; ; ;6;2
600693;237;1;1;1;45,2537237806723;9;1;7;2;11;2;2;1;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
600698;237;1;1;1;37,7834194906143;7;1;3;3;2;2;1;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;6;2
600700;237;3;1;3;36,7485479765077;12;1;4;4;2;1;2;2;2;2;2;1;2;2;2;2;1;4; ;3; ; ; ;2
600701;237;3;1;3;48,8792651573093;8;1;3;4;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
600705;237;1;1;1;51,0866388750101;3;1;3;2;2;2;1;1;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
600708;237;2;1;2;59,8443614860725;3;1;3;2;2;2;2;2;1;2;2;2;2;1;2;2;1;3;1;2;2;2; ;2
600711;237;1;1;1;42,9614761334984;6;1;3;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2;4;2;2; ;2
600716;237;2;1;2;53,3188584208637;7;1;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;7;2
600719;237;2;1;2;35,6854799701611;4;1;4;2;2;1;1;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2; ;2
600720;237;3;1;3;41,1377364114585;3;1;3;3;2;1;2;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ;3;2
600723;237;1;1;1;50,3469367976452;7;1;3;3;2;1;1;1;2;2;2;2;2;1;2;1;1;3;1;2;2;4; ;2
600726;237;1;1;1;54,925691493933;2;1;3;3;2;1;1;2;2;2;2;2;2;1;2;2;2; ; ; ; ; ;3;2
